date,option_symbol,expiration,type,strike,bid,ask,iv,delta,gamma,theta,vega,rho,volume,open_interest,last,last_trade_time,spot
2025-12-15,AAPL251219C00280000,2025-12-19,C,280.0,2.2,2.25,0.1869,0.4278,0.0541,-0.2092,0.1516,0.0224,34288.0,37923.0,2.24,2025-12-12T15:59:59,278.2799987792969
2025-12-15,AAPL251219P00280000,2025-12-19,P,280.0,3.55,3.75,0.1865,-0.5816,0.0552,-0.2134,0.1505,-0.0187,14407.0,13275.0,3.65,2025-12-12T15:59:39,278.2799987792969
2025-12-15,AAPL251219C00282500,2025-12-19,C,282.5,1.28,1.32,0.1836,0.2968,0.0487,-0.1785,0.1344,0.0155,12652.0,6955.0,1.3,2025-12-12T15:59:59,278.2799987792969
2025-12-15,AAPL251219P00282500,2025-12-19,P,282.5,5.0,5.4,0.183,-0.7156,0.0497,-0.1827,0.1311,-0.019,926.0,1873.0,5.35,2025-12-12T15:59:21,278.2799987792969
2025-12-15,AAPL251219C00285000,2025-12-19,C,285.0,0.7,0.73,0.1831,0.1892,0.0382,-0.1361,0.1062,0.0099,18771.0,28222.0,0.73,2025-12-12T15:59:59,278.2799987792969
2025-12-15,AAPL251219P00285000,2025-12-19,P,285.0,6.9,7.35,0.18,-0.8256,0.0389,-0.1393,0.0999,-0.0166,1953.0,10910.0,7.27,2025-12-12T15:59:33,278.2799987792969
2025-12-15,AAPL251219C00287500,2025-12-19,C,287.5,0.38,0.39,0.1854,0.1143,0.0268,-0.0958,0.0769,0.006,11515.0,11412.0,0.38,2025-12-12T15:59:55,278.2799987792969
2025-12-15,AAPL251219P00287500,2025-12-19,P,287.5,9.0,9.55,0.1808,-0.9011,0.0268,-0.0964,0.0685,-0.0118,906.0,3395.0,10.08,2025-12-12T15:36:20,278.2799987792969
2025-12-15,AAPL251219C00290000,2025-12-19,C,290.0,0.2,0.21,0.1898,0.0677,0.0176,-0.0645,0.0528,0.0035,9241.0,29732.0,0.2,2025-12-12T15:59:53,278.2799987792969
2025-12-15,AAPL251219P00290000,2025-12-19,P,290.0,11.25,11.9,0.1815,-0.9465,0.0169,-0.0616,0.0437,-0.0094,346.0,3333.0,11.95,2025-12-12T15:21:03,278.2799987792969
2025-12-15,AAPL251219C00292500,2025-12-19,C,292.5,0.11,0.12,0.1975,0.04,0.0112,-0.0425,0.0353,0.0021,2116.0,6671.0,0.11,2025-12-12T15:58:27,278.2799987792969
2025-12-15,AAPL251219P00292500,2025-12-19,P,292.5,13.75,14.85,0.2187,-0.9718,0.01,-0.0368,0.0263,-0.0047,6.0,12.0,14.31,2025-12-12T15:23:40,278.2799987792969
2025-12-15,AAPL251219C00295000,2025-12-19,C,295.0,0.06,0.07,0.205,0.0242,0.0071,-0.0282,0.0236,0.0012,6993.0,26342.0,0.07,2025-12-12T15:59:49,278.2799987792969
