,spread,beta,z_score,short,long,exit,close_1,close_2
2020-05-27,-5.617317070215506,1.3872703619303044,0.07854504384481588,False,False,False,87.3539810180664,31.13313865661621
2020-05-28,-9.010533925209259,1.4061287163565084,-0.32920085371885943,False,False,False,89.55587768554688,30.62493896484375
2020-05-29,-11.71564822827932,1.4255250331450198,-0.6525811368014605,False,False,False,90.52472686767578,29.117021560668945
2020-06-01,-11.32420737957284,1.4416350701799436,-0.5995737490567762,False,False,False,90.6744384765625,29.57522964477539
2020-06-02,-9.89207533354275,1.4541493914500787,-0.4206603858411523,False,False,False,90.93869018554688,31.26643943786621
2020-06-03,-9.180957981602319,1.466936245360368,-0.330131209326448,False,False,False,92.26863098144531,33.80740737915039
2020-06-04,-7.89212061048795,1.4756361810938836,-0.16954581125880872,False,False,False,91.79302978515625,34.307273864746094
2020-06-05,-6.474261177270336,1.482985469871363,0.006330774164963786,False,False,False,92.0660400390625,36.0484619140625
2020-06-08,-6.345207454458915,1.4895685652052761,0.02509302024776705,False,False,False,93.38720703125,38.0645751953125
2020-06-09,-5.8094069324805275,1.4998444031641873,0.09362687684493941,False,False,False,91.88109588623047,36.26506805419922
2020-06-10,-6.9562200087380575,1.5125457105680034,-0.043388452026627,False,False,False,91.37025451660156,34.24062728881836
2020-06-11,-4.403510930894754,1.523038858611284,0.2723050107480639,False,False,False,87.43325805664062,30.70825958251953
2020-06-12,-3.724917265749241,1.5321199094081588,0.3579911950609372,False,False,False,88.45494079589844,32.832679748535156
2020-06-15,-4.0794588390917,1.5406738464892036,0.3173204574179954,False,False,False,89.02742767333984,33.249229431152344
2020-06-16,-4.645746358495032,1.5501728633704943,0.2516290083090759,False,False,False,90.06673431396484,34.173973083496094
2020-06-17,-4.175157684843967,1.5602174514619693,0.313738736799421,False,False,False,89.11548614501953,33.049278259277344
2020-06-18,-4.702096694760769,1.5684507286766332,0.2527989688727881,False,False,False,89.35330200195312,32.782684326171875
2020-06-19,-5.130355118162157,1.5781628356975688,0.20495420744668677,False,False,False,87.82958221435547,29.82516098022461
