earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker,pnl
2021-07-28,3.06,3.61,17.94,META,0.1818224317497965
2021-04-28,2.34,3.3,40.92,META,-0.1443765992860587
2021-01-27,3.24,3.88,19.91,META,0.0732468089982895
2020-10-29,1.91,2.4,25.57,META,0.1198823883819686
2020-07-30,1.37,1.8,31.2,META,-0.1477373795047198
2020-04-29,1.7,1.71,0.38,META,0.0850167343164212
2020-01-29,2.53,2.56,1.26,META,-0.0905398678817254
2026-01-28,3.86,,,MSFT,
2025-10-29,3.66,3.72,1.59,MSFT,0.2045369222454607
2025-07-30,3.38,3.65,8.01,MSFT,-0.2942760125765843
2025-04-30,3.22,3.46,7.4,MSFT,-0.3474738296424606
2025-01-29,3.12,3.23,3.47,MSFT,-0.1282401238480745
2024-10-30,3.11,3.3,6.25,MSFT,-0.0134139337572677
2024-07-30,2.94,2.95,0.23,MSFT,0.2491858323102858
2024-04-25,2.84,2.94,3.4,MSFT,0.1906471240894809
2024-01-30,2.77,2.93,5.95,MSFT,0.2080780189793731
2023-10-24,2.65,2.99,12.85,MSFT,0.0165947061773405
2023-07-25,2.55,2.69,5.59,MSFT,0.2115540571540675
2023-04-25,2.23,2.45,9.77,MSFT,-0.3791050820710266
2023-01-24,2.27,2.2,-3.17,MSFT,0.1859317298854665
2022-10-25,2.31,2.35,1.92,MSFT,-0.0625078459014378
2022-07-26,2.29,2.23,-2.69,MSFT,0.0134755483797461
2022-04-26,2.2,2.22,1.06,MSFT,-0.0144233042824996
2022-01-25,2.32,2.48,6.97,MSFT,0.0326626951970449
2021-10-26,2.07,2.71,30.77,MSFT,-0.0570914728907369
2021-07-27,1.93,2.17,12.71,MSFT,0.0980210354017365
2021-04-27,1.77,2.03,14.64,MSFT,0.0475334757054942
2021-01-26,1.64,2.03,23.99,MSFT,-0.1346416314502272
2020-10-27,1.55,1.82,17.72,MSFT,-0.014837824667132
2020-07-22,1.37,1.46,6.94,MSFT,0.0839437855295339
2020-04-29,1.27,1.4,10.34,MSFT,0.1382106424251376
2020-01-29,1.32,1.51,14.09,MSFT,0.0251610553143311
2026-02-03,2.63,,,GOOG,
2025-10-29,2.26,2.87,26.88,GOOG,0.0822340820266304
2025-07-23,2.2,2.31,5.09,GOOG,0.1857664881615637
